unixTimeFrame,totHtSum,relHtSum
1415271600000,442,422
1415270700000,330,312
1415269800000,244,217
1415268900000,226,198
1415268000000,169,147
1415267100000,153,135
1415266200000,143,128
1415265300000,123,116
1415264400000,124,115
1415263500000,127,116
1415262600000,132,125
1415261700000,137,131
1415260800000,119,116
1415259900000,112,110
1415259000000,99,99
1415258100000,78,76
1415257200000,64,61
1415256300000,47,44
1415255400000,33,24
1415254500000,34,26
1415253600000,28,22
1415252700000,24,18
1415251800000,12,10
1415250900000,0,0
1415250000000,0,0
1415249100000,0,0
1415248200000,0,0
1415247300000,0,0
1415246400000,0,0
1415245500000,0,0
1415244600000,0,0
1415243700000,0,0
1415242800000,0,0
1415241900000,2,2
1415241000000,8,8
1415240100000,19,19
1415239200000,30,30
1415238300000,43,40
1415237400000,43,40
1415236500000,42,39
1415235600000,43,40
1415234700000,46,45
1415233800000,71,71
1415232900000,77,77
1415232000000,85,85
1415231100000,108,99
1415230200000,105,96
1415229300000,116,107
