participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Massimo Mantellini, 7, 7, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5
Alessandro Perissinotto, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Dario Franceschini, 2, 2, 2, 11, 7, 16, 7, 6, 4, 4, 4, 4
Luca Sofri, 2, 2, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Anna Masera, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 2
Arianna Ciccone, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Carofiglio, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
