participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Luca Sofri, 2, 1, 12, 2, 2, 2, 2, 2, 2, 9, 9, 9
Daria Bignardi, 5, 5, 3, 3, 3, 3, 3, 1, 1, 6, 6, 6
Enrico Mentana, 6, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4
Massimiliano Panarari, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Walter Passerini, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Andrea Iannuzzi, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2
Anna Masera, 4, 4, 7, 4, 2, 2, 2, 2, 2, 2, 2, 2
Arianna Ciccone, 2, 1, 7, 2, 2, 2, 1, 1, 1, 2, 2, 2
Dario Franceschini, 3, 4, 13, 13, 13, 13, 13, 2, 2, 2, 2, 2
Marino Sinibaldi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
