participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Anna Masera, 5, 3, 1, 4, 3, 3, 2, 2, 1, 4, 8, 8
Arianna Ciccone, 6, 4, 1, 6, 6, 6, 2, 1, 1, 2, 5, 5
Andrea Iannuzzi, 4, 2, 1, 4, 7, 2, 2, 2, 3, 2, 4, 4
Luca Sofri, 2, 2, 1, 6, 2, 2, 2, 3, 3, 3, 5, 4
Sonia Peronaci, 1, 1, 1, 2, 2, 2, 2, 2, 4, 4, 4, 4
Dario Franceschini, 4, 4, 3, 3, 3, 2, 2, 2, 2, 4, 3, 3
Enrico Mentana, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Massimiliano Panarari, 1, 1, 1, 4, 3, 3, 3, 3, 3, 3, 3, 3
Walter Passerini, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Beppe Severgnini, 4, 4, 4, 4, 2, 2, 2, 2, 1, 3, 2, 2
