participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 5, 6, 6, 1, 5, 3, 1, 3, 1, 1, 11, 9
Francesco Piccolo, 0, 0, 0, 2, 2, 2, 2, 9, 9, 9, 9, 9
Anna Masera, 1, 1, 2, 7, 7, 2, 2, 1, 1, 1, 1, 7
Andrea Iannuzzi, 1, 1, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6
Arianna Ciccone, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5
David Riondino, 4, 3, 2, 2, 2, 2, 2, 6, 5, 5, 5, 5
Massimo Mantellini, 3, 3, 3, 1, 1, 1, 1, 7, 5, 5, 7, 5
Massimiliano Panarari, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Bruno Tognolini, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2
