participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Massimo Mantellini, 0, 1, 2, 2, 7, 1, 9, 4, 3, 14, 18, 6
Luca Sofri, 0, 1, 1, 2, 10, 12, 12, 19, 4, 14, 6, 4
Anna Masera, 0, 0, 0, 2, 2, 3, 3, 3, 1, 3, 1, 3
Dario Franceschini, 0, 4, 4, 9, 8, 8, 10, 13, 7, 15, 3, 3
Andrea Iannuzzi, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 2
Arianna Ciccone, 0, 0, 2, 2, 2, 2, 4, 4, 4, 3, 3, 2
Daria Bignardi, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2
Marino Sinibaldi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2
Beppe Severgnini, 0, 5, 6, 2, 11, 2, 3, 4, 5, 5, 5, 1
Enrico Mentana, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1
