participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 6, 11, 26, 23, 15, 13, 17, 15, 6, 2, 9, 11
Luca Sofri, 4, 6, 8, 5, 4, 4, 1, 4, 3, 4, 5, 6
Alessandro Perissinotto, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Anna Masera, 1, 2, 1, 2, 2, 2, 2, 6, 1, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Daria Bignardi, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Marino Sinibaldi, 1, 1, 1, 1, 1, 1, 10, 4, 5, 5, 5, 2
