participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Silvia Ballestra, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5
Arianna Ciccone, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Beppe Severgnini, 1, 1, 3, 5, 5, 4, 4, 2, 2, 2, 2, 4
Anna Masera, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Walter Passerini, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Luca Sofri, 1, 1, 1, 1, 3, 3, 3, 3, 3, 1, 1, 2
Massimo Mantellini, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
