participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Pietrangelo Buttafuoco, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7
Alessandro Perissinotto, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Anna Masera, 2, 2, 2, 2, 1, 3, 4, 6, 5, 3, 3, 2
Arianna Ciccone, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2
Dario Franceschini, 1, 8, 2, 3, 2, 7, 7, 1, 1, 4, 4, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Enrico Mentana, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2
