participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Enrico Mentana, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Luca Sofri, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 4
Marino Sinibaldi, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4
Aldo Cazzullo, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Alessandro Perissinotto, 2, 2, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3
Massimo Mantellini, 7, 1, 5, 3, 6, 6, 2, 1, 1, 3, 3, 3
Sonia Peronaci, 4, 2, 2, 2, 1, 1, 2, 2, 2, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
