participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Beppe Severgnini, 4, 2, 2, 2, 1, 1, 1, 2, 4, 4, 4, 4
Dario Franceschini, 6, 2, 4, 18, 7, 8, 9, 4, 1, 4, 4, 3
Enrico Mentana, 1, 1, 1, 1, 2, 3, 3, 3, 3, 1, 3, 3
Samuele Bersani, 0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 3, 3
Walter Passerini, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3
Aldo Cazzullo, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1
Andrea Iannuzzi, 3, 4, 4, 4, 4, 4, 2, 2, 2, 4, 2, 1
Anna Masera, 1, 1, 1, 1, 1, 1, 4, 2, 2, 5, 3, 1
Arianna Ciccone, 1, 1, 1, 1, 1, 1, 2, 3, 5, 6, 4, 1
Daria Bignardi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
