participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Enrico Mentana, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Alessandro Perissinotto, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Daria Bignardi, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3
Massimo Mantellini, 1, 1, 1, 8, 3, 3, 4, 4, 10, 3, 5, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Anna Masera, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2
Dario Franceschini, 2, 1, 5, 5, 5, 2, 4, 5, 4, 4, 3, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
