participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Anna Masera, 2, 2, 5, 3, 1, 4, 3, 3, 2, 2, 1, 4
Dario Franceschini, 4, 1, 4, 4, 3, 3, 3, 2, 2, 2, 2, 4
Sonia Peronaci, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 4
Beppe Severgnini, 2, 4, 4, 4, 4, 4, 2, 2, 2, 2, 1, 3
Enrico Mentana, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3
Luca Sofri, 4, 6, 2, 2, 1, 6, 2, 2, 2, 3, 3, 3
Massimiliano Panarari, 0, 0, 1, 1, 1, 4, 3, 3, 3, 3, 3, 3
Walter Passerini, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Andrea Iannuzzi, 2, 2, 4, 2, 1, 4, 7, 2, 2, 2, 3, 2
Arianna Ciccone, 3, 5, 6, 4, 1, 6, 6, 6, 2, 1, 1, 2
