participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 5, 4, 3, 3, 6, 4, 3, 5, 8, 7, 3, 6
Beppe Severgnini, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 5
Arianna Ciccone, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4
Anna Masera, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Luca Sofri, 1, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3
Walter Passerini, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Alessandro Perissinotto, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
