participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Luca Sofri, 1, 1, 1, 1, 2, 2, 2, 9, 2, 12, 21, 11
Massimo Mantellini, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 17, 8
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Anna Masera, 1, 1, 1, 1, 1, 1, 1, 3, 3, 4, 2, 2
Beppe Severgnini, 1, 1, 1, 6, 6, 1, 1, 1, 1, 1, 1, 2
Daria Bignardi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Dario Franceschini, 2, 2, 2, 2, 2, 2, 5, 6, 6, 2, 2, 2
Enrico Mentana, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Fulvio Ervas, 1, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
