participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 1, 10, 10, 4, 3, 9, 9, 9, 1, 5, 5, 4
Arianna Ciccone, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3
Beppe Severgnini, 1, 1, 1, 1, 1, 3, 2, 1, 3, 2, 3, 3
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Daria Bignardi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2
Enrico Mentana, 3, 3, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2
Fulvio Ervas, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Luca Sofri, 3, 3, 5, 4, 2, 16, 1, 6, 4, 2, 2, 2
Massimo Mantellini, 6, 6, 6, 5, 2, 1, 1, 2, 6, 6, 1, 2
