participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415328206154
Dario Franceschini, 763, 485, 307, 451, 279, 265, 215, 150, 177, 71, 21, 21
Luca Sofri, 459, 467, 178, 528, 291, 141, 110, 91, 107, 168, 61, 19
Beppe Severgnini, 200, 136, 211, 208, 91, 38, 47, 35, 88, 28, 20, 19
Massimo Mantellini, 77, 81, 98, 234, 369, 49, 12, 12, 48, 38, 38, 4
Arianna Ciccone, 67, 101, 90, 50, 62, 53, 53, 24, 24, 12, 1, 1
Sonia Peronaci, 43, 8, 60, 82, 52, 39, 33, 44, 34, 34, 34, 34
Anna Masera, 22, 22, 33, 47, 76, 70, 33, 20, 20, 22, 1, 1
Enrico Mentana, 9, 9, 9, 9, 9, 40, 132, 32, 38, 28, 28, 24
Andrea Iannuzzi, 32, 32, 32, 32, 41, 24, 24, 24, 24, 24, 24, 24
Romana Petri, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20
