participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415403806223
Dario Franceschini, 194, 251, 472, 203, 265, 340, 164, 91, 63, 71, 196, 28
Luca Sofri, 255, 77, 143, 93, 81, 91, 116, 106, 97, 220, 190, 45
Massimo Mantellini, 101, 70, 46, 46, 52, 105, 58, 125, 125, 125, 125, 125
Anna Masera, 31, 31, 31, 24, 18, 52, 119, 112, 89, 181, 158, 30
Arianna Ciccone, 9, 18, 12, 12, 12, 38, 155, 148, 68, 119, 124, 32
Beppe Severgnini, 83, 61, 54, 59, 81, 46, 60, 60, 83, 86, 44, 24
Andrea Iannuzzi, 24, 24, 24, 25, 80, 80, 77, 152, 84, 46, 49, 49
Romana Petri, 20, 20, 33, 50, 50, 50, 50, 50, 50, 50, 50, 50
Enrico Mentana, 34, 34, 34, 34, 34, 46, 46, 46, 46, 57, 56, 49
Sonia Peronaci, 36, 29, 29, 39, 46, 42, 42, 42, 35, 35, 35, 35
