participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415558504876
Dario Franceschini, 9, 4, 105, 193, 215, 118, 299, 267, 103, 135, 277, 41
Beppe Severgnini, 38, 142, 92, 46, 103, 148, 55, 48, 50, 115, 120, 14
Luca Sofri, 26, 26, 53, 95, 73, 56, 58, 42, 88, 130, 164, 61
Mauro Tedeschini, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72
Massimo Mantellini, 7, 1, 31, 141, 191, 125, 44, 36, 65, 65, 30, 5
Anna Masera, 33, 11, 51, 38, 17, 76, 72, 72, 59, 101, 78, 4
Massimiliano Panarari, 70, 4, 36, 35, 44, 40, 46, 46, 46, 46, 46, 46
Walter Passerini, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31
Sonia Peronaci, 11, 11, 32, 17, 34, 34, 29, 70, 11, 53, 29, 31
Enrico Mentana, 4, 4, 4, 4, 4, 25, 55, 22, 45, 61, 61, 61
