participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415371406277
Luca Sofri, 11, 6, 7, 2, 70, 397, 365, 201, 226, 255, 77, 143
Dario Franceschini, 21, 21, 8, 18, 59, 151, 91, 152, 300, 194, 251, 472
Massimo Mantellini, 9, 9, 9, 9, 9, 218, 238, 73, 74, 101, 70, 46
Sonia Peronaci, 34, 34, 34, 34, 34, 34, 34, 34, 95, 36, 29, 29
Beppe Severgnini, 19, 19, 19, 27, 58, 13, 38, 26, 26, 83, 61, 54
Fulvio Ervas, 10, 10, 10, 45, 35, 35, 35, 35, 35, 35, 35, 35
Anna Masera, 1, 1, 1, 1, 21, 86, 44, 35, 31, 31, 31, 31
Andrea Iannuzzi, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24
Pietrangelo Buttafuoco, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 54, 18
Enrico Mentana, 25, 2, 2, 2, 24, 24, 11, 44, 22, 34, 34, 34
