lat,long
45.823688,16.05049
45.792426,15.911166
46.424897,16.430947
45.330327,18.419121
45.330317,18.418888
45.823688,16.05049
45.330218,18.418923
45.339297,18.42169
45.330307,18.419049
45.330163,18.419063
45.330773,18.418369
45.330305,18.419049
45.356575,14.431358
45.906517,16.054191
45.792365,15.911211
45.89401,16.059887
45.330266,18.419108
45.906546,16.054094
45.823688,16.05049
42.445384,14.21738
45.330337,18.419039
45.159226,18.015229
45.832411,16.073587
45.795509,15.824795
46.14057,15.896231
45.33021,18.419075
45.330339,18.419039
45.330223,18.419089
45.813929,16.020604
45.330197,18.418908
45.823688,16.05049
45.335174,18.415348
45.330107,18.418888
45.823688,16.05049
45.330257,18.418983
45.330216,18.418901
45.330218,18.419003
44.532224,14.469011
45.336282,18.420262
45.330204,18.419103
45.330126,18.418933
45.337659,18.416365
45.823688,16.05049
45.344969,18.423371
45.330205,18.419087
45.356558,14.431559
45.330339,18.419039
42.445365,14.217365
42.445367,14.217365
45.823688,16.05049
45.330282,18.419004
45.33766,18.421167
45.330178,18.419146
45.330262,18.419107
45.792371,15.911195
45.823688,16.05049
45.330105,18.419097
45.33021,18.419087
45.330177,18.419051
45.330112,18.418914
45.330271,18.419061
45.330218,18.419081
45.330306,18.419049
45.330333,18.419124
45.330143,18.419038
42.523118,14.154058
45.330116,18.418883
45.823688,16.05049
45.813929,16.020604
45.330259,18.419046
42.454853,14.212972
45.823688,16.05049
45.330178,18.419146
45.330168,18.419064
45.83432,16.073967
45.89086,16.058274
45.330122,18.419173
45.330151,18.419124
45.330207,18.419084
45.816999,16.051072
45.89401,16.059887
45.330218,18.418923
46.111532,17.03127
45.808551,15.969529
45.81444,15.97798
45.330207,18.419085
45.326436,14.462598
42.499765,14.165734
45.811242,15.950697
45.813929,16.020604
45.330105,18.419097
45.159264,18.015237
45.811261,15.950592
45.33024,18.418852
45.823688,16.05049
45.813929,16.020604
45.823688,16.05049
45.330223,18.418957
45.804208,15.969481
45.832411,16.073587
45.887544,15.69706
45.200253,13.889467
45.330213,18.419224
45.330197,18.418908
45.823688,16.05049
45.906524,16.054191
45.33022,18.418913
45.906521,16.054186
45.33874,18.415976
45.330178,18.419146
45.344198,18.408992
45.330238,18.419046
46.424897,16.430946
45.906521,16.054183
45.330107,18.418888
45.343223,18.422861
45.823688,16.05049
45.330231,18.418855
44.532224,14.469011
42.460581,14.216689
45.330338,18.419123
45.330231,18.418855
45.813929,16.020604
45.802234,15.918645
45.330265,18.418899
45.807258,16.0153
45.327876,18.417993
45.906521,16.054197
45.330197,18.418908
45.330269,18.419126
45.795531,15.824867
45.894087,16.838862
45.330335,18.419023
45.808499,15.996995
45.330223,18.418613
45.894011,16.059888
45.563566,18.671202
45.330237,18.419039
45.330257,18.419129
45.823688,16.05049
45.792439,15.911275
45.563566,18.671202
45.330237,18.419039
45.330276,18.419085
45.330257,18.418983
45.823688,16.05049
45.330208,18.418907
45.81444,15.97798
42.444888,14.220294
43.554509,16.381057
45.330233,18.418891
45.200249,13.889466
45.330205,18.419087
43.492403,16.537891
45.330197,18.418908
45.330181,18.419221
45.814204,15.999051
45.334596,18.420335
45.906518,16.054195
42.44491,14.220379
45.330254,18.419022
45.330475,18.419186
45.330161,18.419045
45.191266,18.035525
45.823688,16.05049
45.823688,16.05049
45.330116,18.418883
45.823688,16.05049
45.805512,15.976269
45.802229,15.918555
45.330257,18.418983
45.330234,18.419007
45.330269,18.419157
45.792426,15.911166
45.330257,18.419129
45.516369,15.563029
45.330322,18.419043
42.499753,14.165812
42.462274,14.205715
45.823688,16.05049
45.33016,18.418987
42.444889,14.220298
45.343929,18.40918
45.823688,16.05049
45.792365,15.911211
45.330317,18.418888
45.792388,15.911253
45.330209,18.419083
45.330306,18.419049
46.14057,15.896231
45.80224,15.918632
45.795658,15.994943
45.830512,16.07886
45.800949,15.979648
45.795517,15.824879
46.253115,15.956731
45.330198,18.419051
45.484604,15.545107
45.816415,15.983126
45.330339,18.419039
45.330209,18.419085
45.833432,16.072249
45.330304,18.419048
45.330198,18.418956
45.833265,16.073781
45.800949,15.979648
45.330218,18.418923
45.330157,18.419102
45.3303,18.419121
45.330225,18.419088
45.90658,16.053965
45.792388,15.911253
45.802237,15.918568
45.330254,18.419022
45.330237,18.419039
45.906521,16.054182
42.486417,14.187791
45.811269,15.950583
45.330198,18.418956
45.813929,16.020604
45.34164,18.422384
45.89401,16.059887
45.312553,14.276817
42.462274,14.205715
45.330178,18.419146
45.90192,16.843548
45.330168,18.419064
45.330122,18.419173
45.83431,16.068314
45.906517,16.05419
45.818484,15.879344
45.334206,18.417569
45.330257,18.419129
45.32597,14.443512
45.74348,18.725262
45.792388,15.911253
45.330317,18.418888
45.816408,15.983107
42.455149,14.226624
45.330151,18.419124
45.330265,18.418899
45.330178,18.419051
45.330151,18.419124
45.330296,18.41897
45.800949,15.979648
45.823688,16.05049
45.344172,18.42315
45.832876,16.068992
45.823688,16.05049
45.384722,14.887984
42.450704,14.224741
45.792405,15.911194
45.330231,18.418855
45.159252,18.015248
45.330237,18.419039
