participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415453306155
Luca Sofri, 21, 25, 55, 80, 80, 79, 58, 43, 33, 43, 56, 47
Beppe Severgnini, 7, 7, 9, 31, 40, 41, 49, 31, 22, 30, 33, 30
Anna Masera, 4, 4, 4, 23, 28, 33, 43, 29, 21, 24, 24, 21
Dario Franceschini, 26, 20, 15, 22, 28, 31, 31, 19, 13, 16, 18, 18
Massimo Mantellini, 25, 18, 19, 21, 20, 17, 9, 12, 16, 25, 28, 22
Arianna Ciccone, 13, 13, 13, 12, 29, 30, 30, 31, 9, 6, 12, 9
David Riondino, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Marino Sinibaldi, 12, 12, 9, 9, 9, 9, 9, 9, 9, 9, 9, 6
Samuele Bersani, 15, 18, 15, 13, 9, 9, 3, 3, 3, 3, 3, 3
Walter Passerini, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
