participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415451506156
Luca Sofri, 45, 28, 21, 25, 55, 80, 80, 79, 58, 43, 33, 43
Massimo Mantellini, 94, 45, 25, 18, 19, 21, 20, 17, 9, 12, 16, 25
Beppe Severgnini, 24, 17, 7, 7, 9, 31, 40, 41, 49, 31, 22, 30
Dario Franceschini, 23, 27, 26, 20, 15, 22, 28, 31, 31, 19, 13, 16
Anna Masera, 7, 4, 4, 4, 4, 23, 28, 33, 43, 29, 21, 24
Arianna Ciccone, 13, 13, 13, 13, 13, 12, 29, 30, 30, 31, 9, 6
David Riondino, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Marino Sinibaldi, 12, 12, 12, 12, 9, 9, 9, 9, 9, 9, 9, 9
Samuele Bersani, 8, 10, 15, 18, 15, 13, 9, 9, 3, 3, 3, 3
Enrico Mentana, 12, 12, 12, 12, 6, 6, 6, 6, 6, 6, 6, 6
