participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415365106152
Luca Sofri, 50, 52, 60, 55, 43, 55, 73, 73, 77, 67, 38, 28
Dario Franceschini, 29, 30, 59, 63, 74, 91, 72, 60, 48, 49, 37, 21
Massimo Mantellini, 22, 18, 18, 18, 13, 19, 24, 26, 23, 29, 23, 24
Sonia Peronaci, 3, 5, 26, 30, 27, 27, 11, 11, 7, 10, 15, 13
Beppe Severgnini, 9, 6, 4, 4, 4, 4, 11, 16, 21, 26, 20, 19
Enrico Mentana, 12, 15, 11, 9, 7, 7, 7, 6, 10, 9, 9, 7
Pietrangelo Buttafuoco, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 12
David Riondino, 1, 1, 1, 5, 9, 12, 12, 11, 6, 6, 6, 6
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
