participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415462306163
Dario Franceschini, 18, 18, 17, 30, 49, 70, 104, 133, 137, 132, 116, 93
Luca Sofri, 56, 47, 49, 54, 40, 60, 65, 56, 58, 75, 63, 70
Beppe Severgnini, 33, 30, 33, 41, 28, 36, 36, 31, 22, 19, 12, 17
Massimo Mantellini, 28, 22, 17, 11, 7, 10, 15, 15, 22, 18, 11, 9
Anna Masera, 24, 21, 21, 21, 3, 7, 11, 10, 12, 10, 10, 7
David Riondino, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 6, 10
Walter Passerini, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
Romana Petri, 3, 12, 12, 12, 12, 4, 4, 4, 4, 4, 4, 4
Aldo Cazzullo, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
