participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415279606151
Dario Franceschini, 63, 159, 251, 321, 364, 354, 355, 323, 294, 289, 262, 235
Luca Sofri, 79, 87, 108, 163, 151, 199, 215, 159, 120, 71, 28, 24
Beppe Severgnini, 24, 25, 27, 39, 42, 46, 70, 56, 48, 57, 31, 19
Massimo Mantellini, 7, 7, 8, 14, 24, 53, 78, 71, 63, 40, 12, 7
Sonia Peronaci, 9, 13, 14, 23, 30, 36, 35, 30, 28, 21, 16, 14
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Marino Sinibaldi, 6, 6, 8, 12, 12, 12, 12, 12, 12, 12, 12, 12
Aldo Cazzullo, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Daria Bignardi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
