participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415460506159
Dario Franceschini, 13, 16, 18, 18, 17, 30, 49, 70, 104, 133, 137, 132
Luca Sofri, 33, 43, 56, 47, 49, 54, 40, 60, 65, 56, 58, 75
Beppe Severgnini, 22, 30, 33, 30, 33, 41, 28, 36, 36, 31, 22, 19
Massimo Mantellini, 16, 25, 28, 22, 17, 11, 7, 10, 15, 15, 22, 18
Anna Masera, 21, 24, 24, 21, 21, 21, 3, 7, 11, 10, 12, 10
David Riondino, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Walter Passerini, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
Romana Petri, 3, 3, 3, 12, 12, 12, 12, 4, 4, 4, 4, 4
Arianna Ciccone, 9, 6, 12, 9, 6, 6, 6, 3, 3, 3, 5, 5
Aldo Cazzullo, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
