participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415319206140
Dario Franceschini, 42, 44, 31, 37, 36, 46, 48, 44, 45, 40, 25, 18
Luca Sofri, 23, 22, 20, 19, 23, 29, 23, 23, 29, 32, 43, 52
Beppe Severgnini, 12, 12, 8, 6, 6, 15, 20, 25, 22, 21, 16, 6
Enrico Mentana, 33, 21, 9, 8, 8, 7, 9, 9, 9, 11, 9, 9
Marino Sinibaldi, 12, 12, 12, 12, 12, 12, 12, 12, 6, 6, 6, 6
Samuele Bersani, 7, 7, 6, 10, 19, 20, 16, 12, 5, 1, 1, 3
Sonia Peronaci, 6, 12, 12, 12, 12, 8, 7, 9, 9, 9, 5, 5
Massimo Mantellini, 3, 3, 3, 3, 3, 3, 5, 11, 14, 18, 18, 11
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
