participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415528006154
Dario Franceschini, 3, 4, 13, 22, 30, 40, 42, 46, 52, 53, 52, 59
Massimo Mantellini, 3, 1, 3, 3, 11, 14, 25, 34, 43, 39, 38, 52
Beppe Severgnini, 46, 27, 26, 31, 18, 17, 19, 12, 9, 6, 8, 19
Luca Sofri, 6, 6, 6, 6, 20, 27, 28, 26, 21, 20, 22, 22
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Samuele Bersani, 2, 2, 2, 4, 10, 12, 21, 23, 18, 15, 14, 19
Anna Masera, 4, 6, 8, 10, 15, 18, 17, 15, 6, 6, 6, 6
Massimiliano Panarari, 1, 3, 3, 4, 14, 15, 15, 15, 15, 2, 9, 12
Walter Passerini, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
Sonia Peronaci, 2, 2, 5, 9, 9, 9, 7, 7, 4, 6, 9, 9
