participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415332706130
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Dario Franceschini, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Marino Sinibaldi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Pietrangelo Buttafuoco, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Romana Petri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Luca Sofri, 13, 12, 12, 6, 6, 5, 2, 3, 3, 3, 2, 2
Massimo Mantellini, 9, 9, 9, 9, 9, 1, 3, 3, 3, 3, 3, 3
Enrico Mentana, 4, 4, 4, 6, 6, 6, 6, 7, 6, 6, 6, 2
Sonia Peronaci, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
