participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415471306175
Luca Sofri, 63, 70, 88, 87, 88, 78, 66, 47, 40, 33, 38, 31
Dario Franceschini, 116, 93, 54, 46, 47, 38, 36, 34, 19, 39, 54, 54
Massimo Mantellini, 11, 9, 9, 9, 9, 9, 19, 29, 39, 62, 69, 57
Anna Masera, 10, 7, 21, 26, 30, 29, 18, 9, 7, 11, 27, 35
Mauro Tedeschini, 24, 26, 27, 12, 12, 12, 12, 12, 12, 12, 12, 12
Andrea Iannuzzi, 3, 3, 16, 18, 18, 18, 18, 18, 18, 18, 18, 18
Beppe Severgnini, 12, 17, 17, 13, 14, 13, 17, 18, 21, 18, 9, 12
David Riondino, 6, 10, 12, 12, 11, 11, 12, 20, 21, 21, 17, 17
Francesco Piccolo, 0, 0, 0, 9, 12, 13, 32, 30, 26, 24, 10, 10
Arianna Ciccone, 5, 5, 13, 15, 15, 15, 15, 15, 15, 15, 15, 6
