participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415215706172
Dario Franceschini, 22, 25, 32, 33, 49, 52, 43, 44, 42, 45, 63, 83
Luca Sofri, 28, 36, 34, 33, 23, 8, 10, 9, 6, 13, 16, 12
Silvia Ballestra, 6, 6, 6, 6, 6, 6, 6, 6, 18, 42, 57, 57
Anna Masera, 29, 32, 26, 19, 17, 9, 9, 9, 9, 9, 10, 6
Massimo Mantellini, 5, 9, 9, 11, 9, 9, 3, 3, 7, 21, 33, 36
Beppe Severgnini, 17, 9, 3, 3, 3, 3, 3, 3, 8, 22, 27, 32
Sonia Peronaci, 18, 18, 15, 11, 11, 11, 11, 3, 3, 3, 3, 10
Aldo Cazzullo, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 9
Andrea Iannuzzi, 6, 4, 4, 6, 6, 6, 10, 8, 6, 6, 6, 6
David Riondino, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
