participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415266106140
Beppe Severgnini, 20, 27, 29, 39, 40, 32, 37, 33, 31, 35, 34, 29
Massimo Mantellini, 1, 6, 22, 36, 42, 46, 47, 40, 40, 37, 24, 17
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Dario Franceschini, 8, 9, 11, 11, 15, 21, 28, 24, 17, 19, 13, 17
Luca Sofri, 5, 9, 10, 14, 13, 12, 12, 8, 6, 6, 3, 3
Massimiliano Panarari, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
Anna Masera, 5, 5, 5, 5, 1, 8, 9, 9, 13, 8, 6, 6
Daria Bignardi, 5, 6, 7, 9, 8, 6, 6, 6, 6, 6, 6, 6
Romana Petri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6
