participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415199506148
Luca Sofri, 20, 23, 54, 63, 71, 77, 57, 43, 45, 41, 43, 64
Dario Franceschini, 29, 17, 9, 19, 52, 79, 91, 91, 63, 39, 36, 30
Beppe Severgnini, 48, 44, 58, 42, 54, 57, 47, 36, 29, 31, 31, 31
Sonia Peronaci, 27, 27, 25, 14, 4, 14, 24, 34, 39, 28, 19, 14
Arianna Ciccone, 6, 6, 6, 7, 10, 14, 18, 21, 24, 28, 25, 20
Samuele Bersani, 6, 11, 12, 12, 12, 7, 7, 7, 7, 7, 7, 7
Massimo Mantellini, 21, 21, 14, 9, 3, 3, 3, 3, 3, 3, 3, 3
Aldo Cazzullo, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Enrico Mentana, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Pietrangelo Buttafuoco, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2
