participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415331806137
Luca Sofri, 24, 13, 12, 12, 6, 6, 5, 2, 3, 3, 3, 2
Dario Franceschini, 9, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Marino Sinibaldi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Pietrangelo Buttafuoco, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Romana Petri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Massimo Mantellini, 9, 9, 9, 9, 9, 9, 1, 3, 3, 3, 3, 3
Enrico Mentana, 4, 4, 4, 4, 6, 6, 6, 6, 7, 6, 6, 6
Sonia Peronaci, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
