participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415526206164
Dario Franceschini, 3, 3, 3, 4, 13, 22, 30, 40, 42, 46, 52, 53
Beppe Severgnini, 30, 39, 46, 27, 26, 31, 18, 17, 19, 12, 9, 6
Massimo Mantellini, 3, 3, 3, 1, 3, 3, 11, 14, 25, 34, 43, 39
Luca Sofri, 6, 6, 6, 6, 6, 6, 20, 27, 28, 26, 21, 20
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Samuele Bersani, 2, 2, 2, 2, 2, 4, 10, 12, 21, 23, 18, 15
Anna Masera, 6, 1, 4, 6, 8, 10, 15, 18, 17, 15, 6, 6
Massimiliano Panarari, 9, 9, 1, 3, 3, 4, 14, 15, 15, 15, 15, 2
Walter Passerini, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
Alberto Tessore, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
