participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415330906133
Luca Sofri, 35, 24, 13, 12, 12, 6, 6, 5, 2, 3, 3, 3
Dario Franceschini, 13, 9, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Massimo Mantellini, 9, 9, 9, 9, 9, 9, 9, 1, 3, 3, 3, 3
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Marino Sinibaldi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Pietrangelo Buttafuoco, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Romana Petri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Enrico Mentana, 4, 4, 4, 4, 4, 6, 6, 6, 6, 7, 6, 6
Sonia Peronaci, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
