participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415549606169
Dario Franceschini, 70, 59, 43, 31, 15, 14, 15, 15, 36, 69, 78, 84
Luca Sofri, 15, 15, 16, 22, 23, 27, 34, 34, 30, 32, 29, 39
Beppe Severgnini, 15, 15, 15, 14, 9, 12, 19, 28, 30, 38, 35, 26
Anna Masera, 8, 5, 3, 12, 22, 22, 25, 24, 25, 27, 25, 24
Massimo Mantellini, 9, 9, 9, 14, 21, 21, 18, 10, 10, 10, 10, 10
Enrico Mentana, 9, 9, 9, 10, 12, 14, 18, 18, 15, 10, 10, 10
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Massimiliano Panarari, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10
Sonia Peronaci, 18, 6, 3, 2, 3, 3, 4, 17, 15, 17, 18, 7
Walter Passerini, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
